day,type,title,author,abstract
Wed,Poster,smartid: Overcoming Challenges in Rare Cell Population Marker Identification from Single-Cell RNA-seq,Jinjin Chen,"Accurate identification of cell types and states is a crucial step when analysing single cell RNA-seq data. Inaccurate cell type annotation leads to spurious results and biological interpretations in subsequent analyses. Cell type identification is traditionally done using established marker genes of each cell population. However, many existing methods do not perform well for imbalanced cell populations, which often occurs in the presence of rare cell types. Most existing methods tend to be biased towards the dominant cell populations or highly expressed genes, leading to inaccurate results. Here, we introduce the package smartid, which accurately identifies markers from even imbalanced data across batches by employing a modified Term Frequency-Inverse Document Frequency with Gaussian Mixture Model. smartid is also a gene-set scoring method which is able to distinguish the target group of interest. smartid is implemented in R and is freely available on Bioconductor at https://bioconductor.org/packages/release/bioc/html/smartid.html."
Thu,Poster,The contribution of leukocytes to cerebral malaria vascular pathogenesis in a 3D blood-brain barrier model,Alina Batzilla,"Cerebral Malaria (CM) is a severe neurovascular complication of Plasmodium falciparum infections, in children characterized by brain swelling due to blood-brain barrier (BBB) disruption. Postmortem samples provide evidence of immune cells accumulating in the microvasculature of CM patients, suggesting a role of proinflammatory immune response in the pathogenesis of the disease. However, it remains unclear whether leukocyte activation and accumulation are primary contributors to BBB breakdown or merely a consequence of BBB damage. We used a systems immunology approach comprised of an engineered 3D-BBB model and single-cell RNA sequencing (scRNAseq) to study leukocyte interactions with the BBB in CM pathogenesis. After stimulating peripheral blood mononuclear cells (PBMC) from healthy donors with P. falciparum (Pf-PBMC), we perfused them through the 3D-BBB model. scRNAseq analysis confirmed activation of T-cells, monocytes, and NK cells, and revealed increased binding of Pf-PBMC to resting brain endothelial cells. This increased binding was mostly driven by CD8+ and innate-like T-cells and associated with activation and conformational change of the binding receptor LFA1, quantified by FACS. We identified three transcriptional modules in BBB cells that were differentially expressed upon Pf-PBMC exposure. One inflammatory module was shared between endothelial cells and pericytes and could mostly be attributed to TNFa and IFNg released by monocytes, T-cells, and NK cells. The two remaining, endothelial-specific modules included genes associated with cytoskeletal processes and apoptosis suggestive of barrier dysfunction. Permeability measurements in the 3D-BBB confirmed an increased permeability caused by Pf-PBMC. Vascular disruption was dependent on cytoadhesion of Pf-PBMC as barrier function could be restored by blocking endothelial-leukocyte interactions using an anti-ICAM1 monoclonal antibody. Additionally, we demonstrate how the presented data can be used to disentangle which pathogenic features observed in human CM are likely to be caused by immune cells or P. falciparum-infected red blood cells respectively."
Wed,Poster,miaDash: a web app for reproducible and interactive microbiome analysis and visualisation,Giulio Benedetti,"Microbiome data can reveal valuable insights into the communities of microorganisms that inhabit our world and greatly shape not only the environment but also human health. As microbiome profiling became a standard routine in biomedical and ecological research, the R/Bioconductor community has created a reproducible framework for microbiome data analysis, which is based on optimised containers for hierarchical multi-table data, in particular the TreeSummarizedExperiment class. While this framework is easily accessible to experienced R users, experiment-driven researchers may seek a more user-friendly option for microbiome analysis and visualisation. To reduce the entry requirements to this field, we developed miaDash, an R shiny app that builds on top of the R/Bioconductor framework to provide a graphical user interface for interactive microbiome analysis and exploration. miaDash allows users to import, manipulate, analyse and ultimately visualise microbiome data, without the need for knowledge of R programming. We aim for miaDash to support both new and experienced users in promoting microbiome research and discovery."
Wed,Poster,Orchestrating Microbiome Analysis with Bioconductor,Tuomas Borman,"Microbes play a pivotal role in human health and disease, yet the mechanisms underlying these interactions remain largely unknown due to their complexity. Microbiome research faces challenges related to scalability, interoperability, and a lack of standardization. Studies have grown in terms of both sample size and data dimensionality. While sequencing data forms the foundation of most analyses, other omics layers are increasingly incorporated to provide a more holistic view. However, integration of multi-omics datasets is still poorly supported. Moreover, limited interoperability between tools has hindered efficient multi-omics analysis, and heterogeneous analytical approaches have reduced reproducibility and transparency.
To address these challenges, we have developed a microbiome data science ecosystem built around the TreeSummarizedExperiment class—an extension of Bioconductor’s core SummarizedExperiment container. This design choice enables scalable and efficient data management while ensuring interoperability with the broader Bioconductor ecosystem. A comprehensive suite of tools for microbiome data science is implemented across multiple R/Bioconductor packages, which collectively form the mia (Microbiome Analysis) package family.
The ecosystem is documented in the Orchestrating Microbiome Analysis (OMA) online book, which not only provides practical examples but also promotes best practices in microbiome research. The project is community-driven, actively growing with contributions from independent developers—and we welcome all new contributors.
"
Thu,Poster,Writing custom linters for package developers and their users,Hugo Gruson,"Linting is a common task across programming languages to automatically detect potentially erroneous or suboptimal code patterns. In R, the lintr package proposes an extensive set of linting rules out of the box (to, e.g., recommend the faster anyNA() function over any(is.na())). These rules are based on either objective criteria, such as increased performance or portability, or on widely accepted community style guides, such as the tidyverse style guide.

However, package authors may sometimes want to create their own rules that cannot make it into the lintr package itself.
Typically, this can happen in two main situations:
- when you want all package contributors, including your future self, to stick to a certain style or to specific patterns. This strategy is used by the pkgdown developers to ensure they remember to use functions from the cli package to interact with the users.
- when you deprecate certain arguments or coding patterns in your package, and you want to make it easy for your users to identify which portions of their code they should update to use the new recommended pattern. This require making your new linting rules accessible to users by exporting them and listing them in inst/lintr/linters.csv

Writing new linters may seem like a daunting challenge. But in most cases, it doesn't require a deep knowledge of the R parser. Indeed, the lintr package now provides helpers to streamline the creation of linters, sometimes by just providing the name of the function to avoid.

This poster will demonstrate:
- how your development team can benefit from writing custom linters
- how your package users can benefit from you writing custom linters
- how to write these the linters and expose them to your users in practice
"
Wed,Poster,A Bioconductor workflow for microbiome-based survival analysis,Sneha Das,"There is growing interest in exploring how the human microbiome influences human health. This is no longer limited to cross-sectional association studies alone. With the increasing availability of cohorts with considerable follow-up times, researchers are now also turning to time-to-event, or survival analysis, studies to examine the link between the taxonomic, functional, and other features of microbiome, and the occurrence of significant events- typically the onset of certain diseases or mortality. The accumulation of well phenotyped microbiome cohorts with a substantial follow-up time profiling has made it easier to analyze the association between microbes and future health status. Despite the growing interest, the current studies remain limited by methodological challenges. The complex and compositional microbiome data sets necessitate specialized statistical approaches.There is a lack of comprehensive methods and limited availability of R packages to support microbiome-based survival analyses, and benchmarking studies comparing the available methods in microbiome data sets. We compare methods for microbiome-based survival analysis and introduce a Bioconductor workflow for microbiome-based survival analysis using the (Tree)SummarizedExperiment framework and the mia package. This can support future survival analysis studies in future cohort studies. "
Thu,Poster,Comprehensive Profiling of T Cells and Tertiary Lymphoid Structures in Glioma Using Spatial  and Single-Cell Transcriptomics,Charles Gwellem Anchang,"Adult-type diffuse gliomas, the most common primary brain tumors, pose significant clinical challenges due to limited treatment options, an immune-suppressive microenvironment, and poor prognosis. Immune cell aggregates also known as tertiary lymphoid structures (TLS)  drive intratumoral adaptive immune responses, but their exact function in gliomas is unknown. To better understand the spatial and functional heterogeneity of adaptive immune cells within glioma-associated TLS, we performed whole-transcriptome profiling and adaptive immune receptor sequencing at both spatial and single cell resolution in patient-derived glioma samples. 
In the first step we applied the CHOIR algorithm (Sant et al. 2025) for unbiased clustering and refined annotation of T cell subtypes in the single-cell RNA-sequencing dataset. This aproach enabled the identification of diverse cytotoxic, regulatory and helper T cell phenotypes. Using a combination of different R/Bioconductor tools, we analyzed the spatial transcriptomic data and identified TLS-like regions enriched in various adaptive immune cell types. Integration of single-cell T cell phenotypes with spatial transcriptomic profiles further revealed distinct localisation patterns of T cell subtypes in relation to TLS, suggesting different TLS-related immune functions.
To further characterize immune dynamics, we performed adaptive immune receptor repertoire analysis and investigated the clonal relationships and expansion patterns of different T cell subsets. Notably, cytotoxic T cells showed sustained clonal expansion, yet limited overlap in clonal families across different phenotypic subsets was observed.
Together our work demonstrates how R/Bioconductor-powered analysis pipelines can dissect complex immune dynamics in glioma, providing insights in the role and spatial organization of T cell subtypes in the glioma immune microenvironment."
Wed,Poster,Benchmark of statistical methods for differential expression analysis of bulk RNA-seq data using semi-synthetic data,Quentin Laval,"Transforming counts from bulk RNA-seq data into meaningful biological insights requires a robust statistical method. This study echoes concerns raised by Li et al. [1] about inflated false positives in RNA-seq differential expression analyses when analyzing large population samples. In a published correspondence [2], we highlighted a caveat in their simulation framework, where data were not actually generated under the null hypothesis, leading to biased conclusions. To provide a more accurate comparison, we reproduce and correct these simulations using the same semi-synthetic GTEx data. We benchmark four methods – dearseq [3], voom-limma [4], edgeR and DESeq2 - and assess their performance in terms of false discovery rate (FDR) control and statistical power. Dearseq and voom-limma consistently offer the best balance between sensitivity and FDR control, regardless of sample size, justifying their use in large-scale clinical transcriptomic studies. Additional results are informing the method choice for DEA according to the available sample-size and the needed precision on smallest p-values.
References
1.	Li, Y., Ge, X., Peng, F., Li, W., & Li, J. J. (2022). Exaggerated false positives by popular differential expression methods when analyzing human population samples. Genome biology, 23(1), 79.
2.	Hejblum, B. P., Ba, K., Thiébaut, R., & Agniel, D. (2024). Neglecting the impact of normalization in semi-synthetic RNA-seq data simulations generates artificial false positives. Genome Biology, 25(1), 281.
3.	Gauthier, M., Agniel, D., Thiébaut, R., & Hejblum, B. P. (2020). dearseq: a variance component score test for RNA-seq differential analysis that effectively controls the false discovery rate. NAR genomics and bioinformatics, 2(4), lqaa093.
4.	Law, C. W., Chen, Y., Shi, W., & Smyth, G. K. (2014). voom: Precision weights unlock linear model analysis tools for RNA-seq read counts. Genome biology, 15, 1-17.
"
Thu,Poster,SPICEY: An R package for assessing tissue specificity from single cell multi-omics data,Georgina Fuentes-Páez,"Introduction
Pancreatic islets comprise diverse endocrine cell types critical for glucose homeostasis, with dysfunction leading to diabetes. Single-cell technologies have advanced the mapping of gene expression and chromatin accessibility, but systematic quantification of cell-type specificity for regulatory elements and genes remains challenging. Understanding cell-type-specific regulatory programs is essential for deciphering disease mechanisms, especially in complex tissues like pancreatic islets.

Methods
We developed SPICEY, an R package that integrates single-cell ATAC-seq and RNA-seq data to quantify cell-type specificity through two metrics: the Regulatory Element Tissue Specificity Index (RETSI) and Gene Expression Tissue Specificity Index (GETSI). These combine differential accessibility/expression with entropy-based measures to quantify specificity continuously. SPICEY further links distal regulatory elements to putative target genes through proximity or co-accessibility networks derived from scATAC-seq data, enabling joint analysis of tissue-specific enhancer-gene pairs.

Results
Applying SPICEY to single nucleus ATAC-seq and RNA-seq data from human pancreatic islets (Human Pancreas Analysis Program, HPAP), we quantified cell-type specificity across major islet populations including alpha, beta, and delta cells. RETSI and GETSI reliably distinguished endocrine from exocrine and stromal cells. Tissue-specific regulatory elements and genes exhibited significantly higher specificity indices and lower entropy than ubiquitous features. Integration of RETSI and GETSI via co-accessibility links revealed coordinated enhancer-gene regulatory programs underpinning cell identity. These results demonstrate the ability of SPICEY to capture biologically meaningful cell-type specificity in complex tissues.

Conclusions
SPICEY provides a robust and user-friendly framework to quantify and visualize cell-type-specific regulatory and transcriptional programs from single-cell multi-omics data. By integrating chromatin accessibility and gene expression, SPICEY advances the systematic characterization of regulatory mechanisms in heterogeneous tissues and supports interpretation of disease-relevant cellular heterogeneity, with implications for complex diseases and beyond."
Wed,Poster,"Analycyte, a GUI for automated post-clustering analyses of cytometry data",Eugénie Lohmann,"Cytometry is now able to measure a panel of several dozen markers on each cell in experiments involving a few dozen or a few hundred samples of around a million cells. Analysis of such a large volume of data requires the cells to be grouped into populations using unsupervised (FlowSOM or Phenograph clustering, for example), supervised (manual gating) or hybrid methods. These methods enable the cells in each sample to be mapped and the abundance and median intensity of each marker to be quantified in each cluster. Abundances and median intensities are crucial for comparing different experimental or clinical conditions and identifying clusters with significant variations. However, the methods currently available for this identification are often limited, not very automated and therefore time-consuming.

In order to move quickly from clusters to a list of candidates, we developed analycyte, a graphical and interactive web application for generating automated, standardised and configurable reports. analycyte identifies variations in abundance and marker intensity by comparing two or more conditions and graphically representing these variations and their p-value. Through an exploratory analysis (quality control), analycyte facilitates the detection of batch effects or samples (or markers) exhibiting atypical behaviour. analycyte supports data exported from OMIQ and FlowJo.

analycyte enables experimenters and platforms to quickly obtain relevant post-clustering analyses that can be easily shared with collaborators, simplifying their work and enabling them to carry out in-depth analyses. analycyte is available as R packages at https://gitlab.in2p3.fr/eugenie.lohmann/analycyte or as a Docker image. It is also accessible through the IFB (French Institute of Bioinformatics) cloud catalog. It supports FAIR (Findable, Accessible, Interoperable, Reusable) analyses."
